상호,주소,연락처,위도,경도,추천메뉴,추천
가좌동진천토종순대(청라),인천 서해구 담지로104번길 17-1,0507-1321-0798,37.53835167,126.6612207,"김치맛 (10,000원)",5
뚝배기이탈리아,인천 서해구 중봉대로612번길 10-16 마르씨엘 2층,0507-1466-5330,37.5333816,126.6516009,"봉골레 (12,900원)",5
캐제커피,인천 서해구 담지로86번길 5-21,0507-1326-7152,37.5381392974387,126.661123419527,"아인슈페너 (5,500원)",5

만테까레,인천 서해구 청라라임로122번길 7,0507-1378-9334,37.538605544323,126.654063289453,"까르보나라 (18,000원)",4
복사꽃피는집(청라),인천 서해구 청라에메랄드로76번길 7-13,0507-1394-1690,37.5326497294427,126.657881840969,쭈치파SET 1인 (18,900원),4

고기뚝심,인천 서해구 보석로17번길 5 1층,0507-1392-7890,37.5210168,126.6244498,"[점심] 제육볶음정식 (10,000원)",지인추천
